X--Trace 1::[Channel A],Y--Trace 1::[Channel A],Y--Trace 2::[Channel B]
0.00425901,16.9603,2.47361
0.00426901,16.9579,2.48235
0.00427901,16.9553,2.49108
0.00428901,16.9525,2.49981
0.00429901,16.9494,2.50853
0.00430901,16.9461,2.51724
0.00431901,16.9426,2.52594
0.00432901,16.9388,2.53463
0.00433901,16.9348,2.54331
0.00434901,16.9305,2.55198
0.00435901,16.926,2.56064
0.00436901,16.9212,2.5693
0.00437901,16.9162,2.57794
0.00438901,16.911,2.58658
0.00439901,16.9055,2.5952
0.00440901,16.8998,2.60381
0.00441901,16.8938,2.61242
0.00442901,16.8876,2.62101
0.00443901,16.8812,2.62959
0.00444901,16.8745,2.63817
0.00445901,16.8676,2.64673
0.00446901,16.8604,2.65528
0.00447901,16.853,2.66381
0.00448901,16.8454,2.67234
0.00449901,16.8375,2.68086
0.00450901,16.8294,2.68936
0.00451901,16.8211,2.69785
0.00452901,16.8125,2.70633
0.00453901,16.8036,2.7148
0.00454901,16.7946,2.72325
0.00455901,16.7853,2.73169
0.00456901,16.7757,2.74012
0.00457901,16.7659,2.74854
0.00458901,16.7559,2.75694
0.00459901,16.7456,2.76533
0.00460901,16.7351,2.77371
0.00461901,16.7244,2.78207
0.00462901,16.7134,2.79042
0.00463901,16.7022,2.79876
0.00464901,16.6908,2.80708
0.00465901,16.6791,2.81539
0.00466901,16.6671,2.82368
0.00467901,16.655,2.83196
0.00468901,16.6426,2.84022
0.00469901,16.6299,2.84847
0.00470901,16.6171,2.85671
0.00471901,16.604,2.86493
0.00472901,16.5906,2.87313
0.00473901,16.577,2.88132
0.00474901,16.5632,2.8895
0.00475901,16.5492,2.89765
0.00476901,16.5349,2.9058
0.00477901,16.5204,2.91392
0.00478901,16.5056,2.92203
0.00479901,16.4906,2.93013
0.00480901,16.4754,2.9382
0.00481901,16.4599,2.94627
0.00482901,16.4443,2.95431
0.00483901,16.4283,2.96234
0.00484901,16.4122,2.97035
0.00485901,16.3958,2.97834
0.00486901,16.3791,2.98632
0.00487901,16.3623,2.99428
0.00488901,16.3452,3.00222
0.00489901,16.3279,3.01014
0.00490901,16.3103,3.01805
0.00491901,16.2925,3.02593
0.00492901,16.2745,3.0338
0.00493901,16.2563,3.04165
0.00494901,16.2378,3.04949
0.00495901,16.2191,3.0573
0.00496901,16.2001,3.06509
0.00497901,16.1809,3.07287
0.00498901,16.1615,3.08063
0.00499901,16.1419,3.08837
0.00500901,16.122,3.09608
0.00501901,16.102,3.10378
0.00502901,16.0816,3.11146
0.00503901,16.0611,3.11912
0.00504901,16.0403,3.12676
0.00505901,16.0193,3.13438
0.00506901,15.9981,3.14198
0.00507901,15.9766,3.14956
0.00508901,15.9549,3.15712
0.00509901,15.933,3.16466
0.00510901,15.9109,3.17217
0.00511901,15.8885,3.17967
0.00512901,15.8659,3.18714
0.00513901,15.8431,3.19459
0.00514901,15.8201,3.20203
0.00515901,15.7968,3.20943
0.00516901,15.7733,3.21682
0.00517901,15.7496,3.22418
0.00518901,15.7256,3.23152
0.00519901,15.7015,3.23884
0.00520901,15.6771,3.24612
0.00521901,15.6525,3.25339
0.00522901,15.6276,3.26062
0.00523901,15.6026,3.26783
0.00524901,15.5773,3.275
0.00525901,15.5518,3.28214
0.00526901,15.5261,3.28924
